iso3,scc,oc_capital,valuation
EST,1.8000289085297484e-10,Corals,Non-market use value
EST,1.8000289085297484e-10,Corals,Nonuse value
EST,-2.4673517141890663e-05,Fisheries,Market value
EST,0.005283905848259094,Fisheries,Non-market use value
EST,2.478554936299882e-10,Mangroves,Market value
EST,1.8000289085297484e-10,Mangroves,Non-market use value
EST,1.8000289085297484e-10,Mangroves,Nonuse value
EST,0.0002737719015583795,Ports,Market value
EST,0.0055330037878145505,Total,Total
ETH,-1.8680918923242283e-10,Corals,Market value
ETH,-1.8680918923242283e-10,Corals,Non-market use value
ETH,-1.8680918923242283e-10,Corals,Nonuse value
ETH,-1.8680918923242283e-10,Fisheries,Market value
ETH,-1.8680918923242283e-10,Fisheries,Non-market use value
ETH,-1.8680918923242283e-10,Mangroves,Market value
ETH,-1.8680918923242283e-10,Mangroves,Non-market use value
ETH,-1.8680918923242283e-10,Mangroves,Nonuse value
ETH,-1.8680918923242283e-10,Ports,Market value
ETH,-0.0,Total,Total
FIN,-7.447120119913952e-10,Corals,Market value
FIN,-5.3600571660873005e-11,Corals,Non-market use value
FIN,-5.3600571660873005e-11,Corals,Nonuse value
FIN,-0.00026514130256050355,Fisheries,Market value
FIN,0.04369056066948818,Fisheries,Non-market use value
FIN,-7.447120119913952e-10,Mangroves,Market value
FIN,-5.3600571660873005e-11,Mangroves,Non-market use value
FIN,-5.3600571660873005e-11,Mangroves,Nonuse value
FIN,0.0020601953314988188,Ports,Market value
FIN,0.04548561647987042,Total,Total
FRA,0.0032924090838948204,Corals,Market value
FRA,0.49382922564208026,Corals,Non-market use value
FRA,1.123232314647226,Corals,Nonuse value
FRA,0.0002126404476907411,Fisheries,Market value
FRA,0.32854657717147184,Fisheries,Non-market use value
FRA,8.230620554818582e-09,Mangroves,Market value
FRA,1.0259491546255383e-08,Mangroves,Non-market use value
FRA,1.0259491546255383e-08,Mangroves,Nonuse value
FRA,0.021031192777728264,Ports,Market value
FRA,1.9701443233572788,Total,Total
GAB,7.706322842086654e-11,Corals,Market value
GAB,4.942506149622818e-11,Corals,Non-market use value
GAB,4.942506149622818e-11,Corals,Nonuse value
GAB,-1.0848890297045937e-05,Fisheries,Market value
GAB,0.02129377038381986,Fisheries,Non-market use value
GAB,0.00019030540755311028,Mangroves,Market value
GAB,6.3924968231436e-05,Mangroves,Non-market use value
GAB,5.429143176299678e-05,Mangroves,Nonuse value
GAB,0.003965923803071986,Ports,Market value
GAB,0.02555736635708089,Total,Total
GBR,0.00027963442821108997,Corals,Market value
GBR,0.08343334956406226,Corals,Non-market use value
GBR,0.8726924741727357,Corals,Nonuse value
GBR,-1.6049121612248082e-05,Fisheries,Market value
